"Time","Count"
"10:11:46","2"
"10:11:47","2"
"10:11:48","2"
"10:11:49","2"
"10:11:50","2"
"10:11:51","2"
"10:11:52","5"
"10:11:54","7"
"10:11:55","8"
"10:11:56","9"
"10:11:57","11"
"10:11:58","12"
"10:11:59","13"
"10:12:01","15"
"10:12:02","16"
"10:12:03","17"
"10:12:04","17"
"10:12:06","18"
"10:12:07","19"
"10:12:08","20"
"10:12:10","20"
"10:12:11","21"
"10:12:12","21"
"10:12:13","22"
"10:12:15","23"
"10:12:16","23"
"10:12:17","24"
"10:12:19","24"
"10:12:20","25"
"10:12:21","25"
"10:12:23","26"
"10:12:24","26"
"10:12:25","27"
"10:12:27","27"
"10:12:28","28"
"10:12:29","28"
"10:12:31","29"
"10:12:32","29"
"10:12:33","30"
"10:12:35","30"
"10:12:37","31"
"10:12:39","31"
"10:12:40","32"
"10:12:41","32"
"10:12:43","33"
"10:12:44","33"
"10:12:45","34"
"10:12:46","34"
"10:12:48","35"
"10:12:49","35"
"10:12:50","35"
"10:12:52","36"
"10:12:53","36"
"10:12:54","37"
"10:12:56","37"
"10:12:57","37"
"10:12:59","38"
"10:13:00","38"
"10:13:01","39"
"10:13:02","40"
