Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000020000000 CH2:0.0000020000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.02047999948,-2.04000,0.06000
Vertical Scale,CH1:0.50 CH2:0.50,,-0.02047800086,-2.04000,0.06000
Vertical Offset,CH1:-0.52000 CH2:-0.04000,,-0.02047600038,-2.04000,0.06000
Horizontal Units,s,,-0.02047399990,-2.04000,0.04000
Horizontal Scale,0.0010000000,,-0.02047199942,-2.04000,0.04000
Model Number,¯¶¤”-4115/4A,,-0.02047000080,-2.04000,0.06000
Serial Number,NDS1MFCQ3R1731,,-0.02046800032,-2.04000,0.06000
Software Version,3.01.01.31R20,,-0.02046599984,-2.04000,0.04000
,,,-0.02046399936,-2.04000,0.06000
,,,-0.02046200074,-2.04000,0.06000
,,,-0.02046000026,-2.04000,0.04000
,,,-0.02045799978,-2.04000,0.04000
,,,-0.02045599930,-2.04000,0.06000
,,,-0.02045400068,-2.04000,0.06000
,,,-0.02045200020,-2.04000,0.06000
,,,-0.02044999972,-2.04000,0.06000
,,,-0.02044799924,-2.04000,0.04000
,,,-0.02044600062,-2.04000,0.06000
,,,-0.02044400014,-2.04000,0.06000
,,,-0.02044199966,-2.04000,0.04000
,,,-0.02043999918,-2.04000,0.06000
,,,-0.02043800056,-2.04000,0.06000
,,,-0.02043600008,-2.04000,0.06000
,,,-0.02043399960,-2.04000,0.06000
,,,-0.02043199912,-2.04000,0.06000
,,,-0.02043000050,-2.04000,0.06000
,,,-0.02042800002,-2.04000,0.04000
,,,-0.02042599954,-2.04000,0.04000
,,,-0.02042399906,-2.04000,0.06000
,,,-0.02042200044,-2.04000,0.04000
,,,-0.02041999996,-2.04000,0.04000
,,,-0.02041799948,-2.04000,0.06000
,,,-0.02041600086,-2.04000,0.06000
,,,-0.02041400038,-2.04000,0.06000
,,,-0.02041199990,-2.04000,0.06000
,,,-0.02040999942,-2.04000,0.06000
,,,-0.02040800080,-2.04000,0.06000
,,,-0.02040600032,-2.04000,0.04000
,,,-0.02040399984,-2.04000,0.06000
,,,-0.02040199935,-2.04000,0.06000
,,,-0.02040000074,-2.04000,0.06000
,,,-0.02039800026,-2.04000,0.06000
,,,-0.02039599977,-2.04000,0.06000
,,,-0.02039399929,-2.04000,0.06000
,,,-0.02039200068,-2.04000,0.04000
,,,-0.02039000019,-2.04000,0.06000
,,,-0.02038799971,-2.04000,0.06000
,,,-0.02038599923,-2.04000,0.04000
,,,-0.02038400061,-2.04000,0.06000
,,,-0.02038200013,-2.04000,0.06000
,,,-0.02037999965,-2.04000,0.06000
,,,-0.02037799917,-2.04000,0.06000
